unique_ID,x_extent,y_extent,end,layer
c276r2t,0.05,0.118336315,SW,upstream
c278r2t,0.05,0.154472272,NW,upstream
c282r1t,0.05,0.190608229,NE,above
c282r2t,0.05,0.226565295,SW,below
c277r1t,0.05,0.262701252,NW,below
c271r2t,0.05,0.298837209,NW,below
c280r1t,0.05,0.416726297,NE,above
c271r1t,0.05,0.457334526,NE,above
c282r3t,0.05,0.497942755,MM,below
c273r2t,0.05,0.538729875,NW,below
c273r1t,0.05,0.579338104,SE,above
c280r3t,0.05,0.619946333,MW,above
c274r1t,0.05,0.660554562,NW,above
c276r3t,0.9,0.140876565,NW,upstream
c279r1t,0.9,0.219588551,NW,below
c275r1t,0.9,0.349463327,SE,below
c279r2t,0.9,0.40921288,MM,above
c278r4t,0.9,0.521556351,MM,below
c272r6t,0.237113402,0.9,MM,above
c280r4t,0.35,0.9,MW,below
c274r3t,0.55,0.9,SM,below
c280r2t,0.679067683,0.9,MM,below
c276r4t,0.788659794,0.9,SM,below
c271r3t,0.9,0.9,SW,below
